"","mean","STATE"
"1",291.734481059856,"Alabama"
"2",298.458141326356,"Arizona"
"3",290.603639723242,"Arkansas"
"4",293.29625076341,"California"
"5",293.764261522913,"Colorado"
"6",283.839104045107,"Connecticut"
"7",286.538538011699,"Delaware"
"8",292.013628622462,"Georgia"
"9",290.428858344667,"Idaho"
"10",286.005606601568,"Illinois"
"11",286.128314794178,"Indiana"
"12",284.720215370582,"Iowa"
"13",290.180049855222,"Kansas"
"14",288.472868087634,"Kentucky"
"15",292.844804234093,"Louisiana"
"16",280.202822391787,"Maine"
"17",286.688007123633,"Maryland"
"18",283.239471658217,"Massachusetts"
"19",281.880320840022,"Michigan"
"20",281.200483961222,"Minnesota"
"21",291.626073604546,"Mississippi"
"22",288.03378978364,"Missouri"
"23",287.774701179416,"Montana"
"24",288.669622405173,"Nebraska"
"25",294.980852412836,"Nevada"
"26",282.065985543009,"New Hampshire"
"27",285.39633633698,"New Jersey"
"28",297.431753734031,"New Mexico"
"29",283.104292709722,"New York"
"30",289.997216921981,"North Carolina"
"31",282.338218025428,"North Dakota"
"32",285.854466649842,"Ohio"
"33",291.868457705476,"Oklahoma"
"34",288.868716618379,"Oregon"
"35",285.14258608254,"Pennsylvania"
"36",283.531016004556,"Rhode Island"
"37",291.206791793558,"South Carolina"
"38",285.884338173318,"South Dakota"
"39",289.919548988722,"Tennessee"
"40",295.167581646959,"Texas"
"41",294.731480625703,"Utah"
"42",281.878641068906,"Vermont"
"43",288.461549079329,"Virginia"
"44",286.148588334988,"Washington"
"45",287.640694947715,"West Virginia"
"46",282.139571349661,"Wisconsin"
"47",291.36717959471,"Wyoming"
"48",294.534417700988,"Florida"
