"","target_end_date","abbreviation","cases","location","state_name"
"1",2020-10-24,"AL",3,1,"Alabama"
"2",2020-10-31,"AL",13,1,"Alabama"
"3",2020-11-07,"AL",16,1,"Alabama"
"4",2020-11-14,"AL",21,1,"Alabama"
"5",2020-11-21,"AL",10,1,"Alabama"
"6",2020-11-28,"AL",12,1,"Alabama"
"7",2020-12-05,"AL",11,1,"Alabama"
"8",2020-12-12,"AL",3,1,"Alabama"
"9",2020-12-19,"AL",30,1,"Alabama"
"10",2020-12-26,"AL",16,1,"Alabama"
"11",2021-01-02,"AL",15,1,"Alabama"
"12",2021-01-09,"AL",20,1,"Alabama"
"13",2021-01-16,"AL",27,1,"Alabama"
"14",2021-01-23,"AL",16,1,"Alabama"
"15",2021-01-30,"AL",32,1,"Alabama"
"16",2021-02-06,"AL",27,1,"Alabama"
"17",2021-02-13,"AL",19,1,"Alabama"
"18",2021-02-20,"AL",20,1,"Alabama"
"19",2021-02-27,"AL",19,1,"Alabama"
"20",2021-03-06,"AL",16,1,"Alabama"
"21",2021-03-13,"AL",17,1,"Alabama"
"22",2021-03-20,"AL",21,1,"Alabama"
"23",2021-03-27,"AL",11,1,"Alabama"
"24",2021-04-03,"AL",7,1,"Alabama"
"25",2021-04-10,"AL",9,1,"Alabama"
"26",2021-04-17,"AL",9,1,"Alabama"
"27",2021-04-24,"AL",24,1,"Alabama"
"28",2021-05-01,"AL",20,1,"Alabama"
"29",2021-05-08,"AL",11,1,"Alabama"
"30",2021-05-15,"AL",12,1,"Alabama"
"31",2021-05-22,"AL",12,1,"Alabama"
"32",2021-05-29,"AL",11,1,"Alabama"
"33",2021-06-05,"AL",12,1,"Alabama"
"34",2021-06-12,"AL",15,1,"Alabama"
"35",2021-06-19,"AL",7,1,"Alabama"
"36",2021-06-26,"AL",3,1,"Alabama"
"37",2021-07-03,"AL",13,1,"Alabama"
"38",2021-07-10,"AL",6,1,"Alabama"
"39",2021-07-17,"AL",16,1,"Alabama"
"40",2021-07-24,"AL",12,1,"Alabama"
"41",2021-07-31,"AL",28,1,"Alabama"
"42",2021-08-07,"AL",18,1,"Alabama"
"43",2021-08-14,"AL",13,1,"Alabama"
"44",2021-08-21,"AL",19,1,"Alabama"
"45",2021-08-28,"AL",18,1,"Alabama"
"46",2021-09-04,"AL",26,1,"Alabama"
"47",2021-09-11,"AL",19,1,"Alabama"
"48",2021-09-18,"AL",17,1,"Alabama"
"49",2021-09-25,"AL",15,1,"Alabama"
"50",2021-10-02,"AL",6,1,"Alabama"
"51",2021-10-09,"AL",12,1,"Alabama"
"52",2021-10-16,"AL",4,1,"Alabama"
"53",2021-10-23,"AL",5,1,"Alabama"
"54",2021-10-30,"AL",12,1,"Alabama"
"55",2021-11-06,"AL",8,1,"Alabama"
"56",2021-11-13,"AL",14,1,"Alabama"
"57",2021-11-20,"AL",15,1,"Alabama"
"58",2021-11-27,"AL",10,1,"Alabama"
"59",2021-12-04,"AL",20,1,"Alabama"
"60",2021-12-11,"AL",16,1,"Alabama"
"61",2021-12-18,"AL",20,1,"Alabama"
"62",2021-12-25,"AL",14,1,"Alabama"
"63",2022-01-01,"AL",47,1,"Alabama"
"64",2022-01-08,"AL",27,1,"Alabama"
"65",2022-01-15,"AL",15,1,"Alabama"
"66",2022-01-22,"AL",17,1,"Alabama"
"67",2022-01-29,"AL",14,1,"Alabama"
"68",2022-02-05,"AL",5,1,"Alabama"
"69",2022-02-12,"AL",7,1,"Alabama"
"70",2022-02-19,"AL",18,1,"Alabama"
"71",2022-02-26,"AL",8,1,"Alabama"
"72",2022-03-05,"AL",23,1,"Alabama"
"73",2022-03-12,"AL",23,1,"Alabama"
"74",2022-03-19,"AL",21,1,"Alabama"
"75",2022-03-26,"AL",16,1,"Alabama"
"76",2022-04-02,"AL",22,1,"Alabama"
"77",2022-04-09,"AL",18,1,"Alabama"
"78",2022-04-16,"AL",11,1,"Alabama"
"79",2022-04-23,"AL",23,1,"Alabama"
"80",2022-04-30,"AL",9,1,"Alabama"
"81",2022-05-07,"AL",15,1,"Alabama"
"82",2022-05-14,"AL",9,1,"Alabama"
"83",2022-05-21,"AL",12,1,"Alabama"
"84",2022-05-28,"AL",13,1,"Alabama"
"85",2022-06-04,"AL",12,1,"Alabama"
"86",2022-06-11,"AL",13,1,"Alabama"
"87",2022-06-18,"AL",12,1,"Alabama"
"88",2022-06-25,"AL",7,1,"Alabama"
"89",2022-07-02,"AL",6,1,"Alabama"
"90",2022-07-09,"AL",15,1,"Alabama"
"91",2022-07-16,"AL",15,1,"Alabama"
"92",2022-07-23,"AL",3,1,"Alabama"
"93",2022-07-30,"AL",9,1,"Alabama"
"94",2022-08-06,"AL",8,1,"Alabama"
"95",2022-08-13,"AL",7,1,"Alabama"
"96",2022-08-20,"AL",7,1,"Alabama"
"97",2022-08-27,"AL",8,1,"Alabama"
"98",2022-09-03,"AL",12,1,"Alabama"
"99",2022-09-10,"AL",10,1,"Alabama"
"100",2022-09-17,"AL",17,1,"Alabama"
"101",2022-09-24,"AL",19,1,"Alabama"
"102",2022-10-01,"AL",23,1,"Alabama"
"103",2022-10-08,"AL",38,1,"Alabama"
"104",2022-10-15,"AL",81,1,"Alabama"
"105",2022-10-22,"AL",130,1,"Alabama"
"106",2022-10-29,"AL",249,1,"Alabama"
"107",2022-11-05,"AL",350,1,"Alabama"
"108",2022-11-12,"AL",312,1,"Alabama"
"109",2022-11-19,"AL",236,1,"Alabama"
"110",2022-11-26,"AL",236,1,"Alabama"
"111",2022-12-03,"AL",360,1,"Alabama"
"112",2022-12-10,"AL",234,1,"Alabama"
"113",2022-12-17,"AL",153,1,"Alabama"
"114",2022-12-24,"AL",153,1,"Alabama"
"115",2022-12-31,"AL",148,1,"Alabama"
"116",2023-01-07,"AL",125,1,"Alabama"
"117",2023-01-14,"AL",99,1,"Alabama"
"118",2023-01-21,"AL",57,1,"Alabama"
