STATE,Resident_population_2020,Population_density_2020,Density_rank_2020,Resident_population_2010,Population_density_2010,Density_rank_2010,Resident_population_2000,Population_density_2000,Density_rank_2000
Alabama,5024279,99.2,29,4779736,94.4,29,4447100,87.8,28
Alaska,733391,1.3,52,710231,1.2,52,626932,1.1,52
Arizona,7151502,62.9,35,6392017,56.3,35,5130632,45.2,38
Arkansas,3011524,57.9,36,2915918,56,36,2673400,51.4,36
California,39538223,253.7,13,37253956,239.1,13,33871648,217.4,14
Colorado,5773714,55.7,39,5029196,48.5,39,4301261,41.5,39
Connecticut,3605944,744.7,6,3574097,738.1,6,3405565,703.3,6
Delaware,989948,508,8,897934,460.8,8,783600,402.1,9
District of Columbia,689545,11280,1,601723,9856.5,1,572059,9370.6,1
Florida,21538187,401.4,10,18801310,350.6,10,15982378,298,10
Georgia,10711908,185.6,19,9687653,168.4,20,8186453,142.3,20
Hawaii,1455271,226.6,15,1360301,211.8,15,1211537,188.6,15
Idaho,1839106,22.3,46,1567582,19,46,1293953,15.7,46
Illinois,12812508,230.8,14,12830632,231.1,14,12419293,223.7,13
Indiana,6785528,189.4,18,6483802,181,18,6080485,169.7,18
Iowa,3190369,57.1,38,3046355,54.5,38,2926324,52.4,35
Kansas,2937880,35.9,43,2853118,34.9,42,2688418,32.9,42
Kentucky,4505836,114.1,25,4339367,109.9,24,4041769,102.4,25
Louisiana,4657757,107.8,28,4533372,104.9,26,4468976,103.4,24
Maine,1362359,44.2,40,1328361,43.1,40,1274923,41.3,40
Maryland,6177224,636.1,7,5773552,594.8,7,5296486,545.6,7
Massachusetts,7029917,901.2,5,6547629,839.4,5,6349097,814,5
Michigan,10077331,178,20,9883640,174.8,19,9938444,175.8,17
Minnesota,5706494,71.7,32,5303925,66.6,33,4919479,61.8,33
Mississippi,2961279,63.1,34,2967297,63.2,34,2844658,60.6,34
Missouri,6154913,89.5,30,5988927,87.1,30,5595211,81.4,29
Montana,1084225,7.4,50,989415,6.8,50,902195,6.2,50
Nebraska,1961504,25.5,45,1826341,23.8,45,1711263,22.3,44
Nevada,3104614,28.3,44,2700551,24.6,44,1998257,18.2,45
New Hampshire,1377529,153.8,23,1316470,147,23,1235786,138,22
New Jersey,9288994,1263,2,8791894,1195.5,2,8414350,1144.2,2
New Mexico,2117522,17.5,47,2059179,17,47,1819046,15,47
New York,20201249,428.7,9,19378102,411.2,9,18976457,402.7,8
North Carolina,10439388,214.7,17,9535483,196.1,17,8049313,165.6,19
North Dakota,779094,11.3,49,672591,9.7,49,642200,9.3,49
Ohio,11799448,288.8,12,11536504,282.3,12,11353140,277.8,11
Oklahoma,3959353,57.7,37,3751351,54.7,37,3450654,50.3,37
Oregon,4237256,44.1,41,3831074,39.9,41,3421399,35.6,41
Pennsylvania,13002700,290.6,11,12702379,283.9,11,12281054,274.5,12
Rhode Island,1097379,1061.4,3,1052567,1018.1,4,1048319,1014,4
South Carolina,5118425,170.2,21,4625364,153.9,22,4012012,133.5,23
South Dakota,886667,11.7,48,814180,10.7,48,754844,10,48
Tennessee,6910840,167.6,22,6346105,153.9,21,5689283,138,21
Texas,29145505,111.6,26,25145561,96.3,28,20851820,79.8,30
Utah,3271616,39.7,42,2763885,33.6,43,2233169,27.2,43
Vermont,643077,69.8,33,625741,67.9,32,608827,66.1,32
Virginia,8631393,218.6,16,8001024,202.6,16,7078515,179.2,16
Washington,7705281,115.9,24,6724540,101.2,27,5894121,88.7,27
West Virginia,1793716,74.6,31,1852994,77.1,31,1808344,75.2,31
Wisconsin,5893718,108.8,27,5686986,105,25,5363675,99,26
Wyoming,576851,5.9,51,563626,5.8,51,493782,5.1,51
